legid,reconstructed_duration
#25:17642,327
#22:17764,1471
#23:17732,1523
#24:17685,557
#25:17643,684
#22:17765,1487
#22:17854,2048
#23:17822,349
#22:17855,335
#23:17823,1203
#25:17734,86
#22:16973,262
#24:17019,2399
#24:17118,4463
#23:17264,1370
#25:17177,2023
#23:17669,2372
#28:4935,294
#24:17623,2535
#22:17701,1093
#22:17710,598
#29:4902,809
#23:17678,407
#25:17617,3032
#26:5025,296
#22:17738,1884
#27:4988,318
#24:17660,184
#28:4951,235
#25:17618,452
#29:4914,502
#22:17739,755
#26:5026,448
#23:17707,2038
#23:17817,1530
#27:5016,275
#24:17770,136
#22:17856,1064
#26:5056,1497
#23:17824,787
#24:17787,1707
#23:17930,1128
#23:18246,363
#28:5075,693
#24:18199,1098
#23:18249,685
#25:17136,316
#27:4839,379
#23:17224,271
#28:4839,245
#28:4871,1355
#22:17486,964
#25:17464,1386
#29:4864,693
#22:17640,3112
#23:17608,1684
#24:17562,494
#25:17520,3048
#24:17785,1537
#29:4948,361
#26:5071,1686
#24:17893,1587
#25:17891,451
#22:18013,316
#25:17995,1785
#29:5004,575
#23:18085,390
#27:5114,286
#23:18716,638
#26:5246,961
#24:18669,454
#27:5208,754
#25:18627,2061
#22:19069,1092
#25:19240,271
#22:19362,361
#25:19528,1039
#28:5439,236
#22:19650,1164
#26:5515,345
#26:5580,264
#23:19888,498
#27:5542,292
#24:19841,435
#22:19922,309
#26:5581,303
#23:19890,368
#24:19904,474
#25:19900,542
#27:5563,470
#22:20022,1483
#23:20155,322
#25:20066,1456
#22:20265,513
#26:5674,506
#23:20233,861
#24:20309,586
#26:5705,426
#25:20267,451
#22:20389,1496
#23:19828,1131
#24:19781,1572
#22:18063,1535
#24:17991,544
#26:5107,504
#25:17949,136
#22:18071,2218
#27:5069,463
#24:17992,589
#28:5032,521
#23:18040,272
#29:4995,908
#25:17951,272
#23:18037,498
#25:17941,378
#25:19727,3548
#29:5451,782
#22:19849,6302
#26:5564,300
#23:19817,3205
#27:5526,723
#24:19770,400
#22:20891,2342
#29:5737,497
#24:20812,928
#26:5851,1458
#23:20860,3107
#27:5812,496
#24:20813,185
#28:5775,1245
#25:20771,3410
#29:5738,355
#22:20893,997
#23:20861,163
#26:5852,539
#24:20814,2317
#26:5148,280
#23:18229,1844
#25:23692,384
#24:23736,815
#25:23693,2228
#22:23816,1438
#24:23739,1475
#25:23695,2651
#25:23699,2335
#22:23819,566
#22:23814,1110
#24:23734,2037
#25:23691,1906
#22:23808,1383
#24:23728,1449
#27:6707,1431
#25:23685,679
#23:23775,2309
#22:23807,1250
#26:6747,948
#23:23774,362
#25:23683,2120
#23:23773,1687
#25:20755,5279
#26:5848,543
#22:20877,5308
#22:23805,2749
#25:23674,5700
#24:23715,1918
#25:23672,2605
#22:23790,1868
#22:23779,231
#27:6702,1201
#23:23747,1105
#24:23694,1132
#25:23651,90
#29:6624,378
#24:23693,270
#24:23691,1903
#222:42240,1189
#228:11745,400
#225:42224,1386
#229:11742,489
#222:42241,756
#222:42239,101
#222:42236,11475
#225:42219,5042
#224:42226,1584
#223:42231,1906
#222:42235,1752
#225:42218,136
#225:42217,1805
#228:11744,383
#223:42230,1054
#222:42232,1947
#224:42221,692
#228:11743,243
#225:42214,1041
#229:11740,832
#222:42231,1768
#224:42220,2182
#229:11739,1059
#225:42213,1223
#226:11755,422
#222:42230,872
#227:11751,360
#223:42226,5659
#226:11754,373
#225:42211,317
#227:11750,1315
#222:42228,210
#222:42227,601
#229:11738,459
#223:42223,2339
#224:42217,182
#222:42226,1898
#228:11741,241
#223:42222,1117
#223:42221,953
#226:11753,305
#227:11749,487
#225:42209,1267
#222:42225,1778
#222:42224,78
#222:42222,2167
#223:42216,2797
#223:42206,2214
#225:42189,2193
#223:42201,1743
#227:11744,794
#224:42196,2834
#222:42200,2434
#223:42195,1830
#223:42190,1900
#222:42192,1621
#225:42169,2382
#223:42180,2435
#223:42124,2466
#224:42118,1587
#222:42122,1801
#224:42102,2160
#223:42107,3705
#222:42107,1614
#229:11712,969
#223:42103,2746
#222:42106,3001
#225:42089,2368
#222:42105,2079
#222:42051,1139
#225:42030,1228
#223:42042,2634
#226:11720,322
#224:42037,1198
#225:42029,632
#229:11704,1429
#222:42046,588
#223:42038,2601
#224:42031,1630
#222:42041,460
#222:42040,3785
#229:11703,1731
#225:42023,2372
#224:45552,523
#225:45542,91
#222:45563,1757
#222:45564,1786
#227:12733,458
#223:45559,136
#228:12724,817
#224:45554,115
#225:45544,188
#222:45565,1966
#24:17762,1174
#25:17720,2573
#22:17684,1049
#25:17572,262
#28:4933,262
#22:17693,131
#25:17589,524
#22:17758,1531
#24:17659,6109
#23:17759,1461
#23:17834,1538
#26:5052,279
#22:17844,589
#23:17812,196
#24:17782,121
#26:5308,627
#27:5270,573
#22:18973,498
#23:18941,178
#28:5233,665
#24:18894,195
#24:19331,4690
#29:5334,1361
#25:19289,2853
#22:20109,91
#29:5517,390
#23:20077,681
#24:20030,361
#29:5518,249
#23:20080,589
#24:20033,1308
#22:20636,1399
#23:20604,2988
#22:20637,678
#23:20605,1409
#22:21033,771
#28:5821,822
#25:20912,1019
#24:17718,655
#23:17766,524
#24:17719,131
#23:17767,393
#25:17679,262
#27:5002,524
#22:17801,131
#24:17714,262
#25:17672,393
#23:17730,2179
#24:17712,1650
#27:5031,251
#22:17907,1934
#22:17961,3299
#25:17948,1613
#23:18167,967
#26:5136,1350
#24:18120,846
#23:17708,3277
#23:17718,2359
#29:4917,262
#24:17765,262
#22:17845,655
#27:5014,524
#25:17724,3670
#27:5015,524
#22:17740,643
#24:17840,1442
#222:34826,1311
#222:35291,918
#229:9837,262
#223:35290,131
#22:17908,786
#23:17876,131
#24:30258,3666
#23:17855,2159
#29:4952,250
#24:17808,775
#26:5065,315
#25:17766,1850
#26:5086,168
#23:17944,2059
#24:17897,803
#25:17855,1204
#25:17914,1088
#24:18035,277
#28:5040,259
#25:17993,1357
#25:18115,1576
#24:18207,807
#28:5078,1126
#25:18165,1833
#24:18259,774
#22:18339,957
#22:18405,601
#24:18377,1113
#23:18512,1738
#25:18709,828
#26:5269,998
#22:18831,1549
#24:18752,2486
#23:18800,805
#28:5194,959
#24:18753,1147
#22:18932,1779
#22:19059,1003
#27:5302,1615
#23:19027,1602
#22:19135,1416
#24:19056,863
#24:19211,3096
#24:19240,1568
#27:5381,1423
#25:19198,205
#22:19320,408
#28:5344,1037
#23:19288,2038
#22:19572,2018
#22:19585,850
#23:19553,1393
#24:19739,2093
#25:19697,687
#27:5516,780
#22:19819,976
#28:5479,408
#23:19787,587
#24:19971,1252
#22:20052,492
#26:5611,309
#24:19973,371
#27:5573,335
#25:19931,454
#23:20021,1084
#22:20317,392
#28:5611,88
#23:20285,1090
#24:20238,1165
#25:20196,989
#29:5574,419
#22:20318,282
#25:20429,455
#23:20519,653
#23:20532,1811
#23:20597,958
#29:5652,787
#24:20550,868
#26:5765,305
#25:20508,847
#22:20916,2042
#23:20884,907
#27:5821,305
#24:20837,911
#28:5784,297
#25:20795,527
#22:20918,3277
#22:20941,687
#28:5793,265
#23:20909,702
#24:20862,492
#29:5756,726
#25:20820,1363
#23:21079,183
#24:21032,1199
#28:5845,1466
#25:20990,148
#23:21080,729
#24:21033,317
#25:21163,893
#22:21286,672
#24:21207,762
#22:21651,2005
#23:21619,2093
#27:6052,1029
#24:21572,1184
#28:6015,1401
#25:21530,319
#29:5978,839
#26:6092,238
#24:21573,547
#25:21717,954
#23:21807,621
#25:21718,245
#27:6105,258
#22:21840,420
#22:22163,1928
#23:22147,816
#28:6168,248
#24:22100,960
#29:6131,527
#25:22058,804
#24:22545,1879
#25:22502,639
#28:6293,890
#22:22625,1629
#24:22783,1626
#25:22740,1144
#27:6407,788
#22:22863,1453
#25:22801,2749
#22:22924,246
#23:22892,866
#28:6388,350
#24:22845,515
#25:22802,2110
#23:23053,2489
#25:23014,1679
#27:6493,1240
#22:23137,1089
#22:23493,1795
#22:23494,987
#27:6622,1538
#23:23462,1382
#23:23941,1849
#22:23974,1055
#26:6792,405
#23:23942,1008
#27:6752,707
#24:23895,562
#25:24198,1452
#24:24243,641
#26:6881,303
#25:24199,424
#27:6841,776
#22:24324,599
#22:25150,1326
#23:25118,228
#24:25069,682
#28:7047,1258
#25:25025,1288
#22:25151,219
#29:7009,397
#23:25119,446
#24:25070,90
#25:25026,1315
#22:25152,1337
#23:25120,915
#24:25071,455
#24:25276,1941
#23:25326,318
#27:7147,324
#24:25277,1055
#28:7109,719
#25:25233,867
#29:7071,371
#22:25359,476
#22:25392,142
#28:7116,250
#24:25311,819
#25:25267,845
#29:7078,236
#23:25361,734
#24:25312,411
#24:25551,1675
#22:25785,2097
#23:25753,2822
#24:25704,185
#28:7251,357
#25:25660,1525
#23:25953,864
#25:25917,1415
#23:26011,725
#26:7410,344
#24:25962,320
#22:26612,1838
#25:26487,548
#27:7532,298
#22:26613,638
#28:7494,320
#23:26581,993
#25:27308,1463
#26:7788,271
#22:27435,793
#23:27402,1117
#27:7746,986
#24:27353,1601
#25:27309,1132
#28:7708,866
#22:27436,1205
#29:7670,318
#24:27354,738
#26:7789,1013
#25:27310,351
#27:7747,1309
#22:27437,1634
#28:7709,1298
#23:27404,552
#29:7671,164
#24:27355,163
#23:27655,1231
#23:27763,1219
#29:7762,411
#23:27764,182
#26:7881,838
#24:27715,1107
#25:27829,1731
#22:27956,171
#24:27874,1109
#23:27924,1133
#25:28395,2158
#23:28489,1067
#27:8058,583
#24:28440,1671
#24:18251,3844
#26:5165,260
#25:18209,2315
#24:17876,4794
#26:5081,1690
#25:17834,238
#25:17970,5496
#23:18158,4767
#23:18479,4611
#23:18836,6378
#26:5279,2437
#25:18747,1051
#27:5241,424
#22:18869,619
#22:18974,7052
#29:5196,690
#22:18975,549
#25:19313,4943
#22:19613,4395
#29:5393,359
#25:19492,942
#26:5506,239
#22:19614,456
#27:5468,249
#24:19535,258
#28:5431,398
#25:19493,274
#22:19707,3969
#29:5412,2225
#24:19628,227
#25:19586,137
#23:19829,183
#27:5528,967
#28:5491,1130
#25:19740,5430
#22:22074,5406
#28:6139,691
#22:22075,378
#29:6102,420
#23:22043,797
#26:6216,746
#24:21996,4949
#23:22042,229
#24:21995,955
#23:17862,228
#27:5029,485
#25:17773,381
#28:4992,327
#22:17895,451
#23:17867,1761
#25:17840,524
#22:18002,588
#25:17971,818
#25:20850,169
#26:5882,249
#22:20972,239
#27:5843,478
#23:20940,135
#28:5806,512
#25:20851,226
#22:20973,935
#29:5769,626
#23:20941,904
#26:5883,258
#25:20852,336
#23:18743,747
#23:19269,265
#29:5300,1579
#24:19222,992
#23:18741,1245
#25:22915,251
#28:6427,281
#22:23038,779
#23:23006,319
#24:22959,230
#25:22916,183
#23:23009,286
#24:22962,1097
#25:22919,771
#22:23042,228
#23:23010,1050
#22:23043,547
#23:23011,429
#25:25139,448
#25:25819,786
#22:26456,2981
#24:25863,547
#24:25864,7940
#25:25821,10130
#22:25948,2055
#23:25916,945
#22:27468,434
#28:7717,1130
#24:27386,260
#29:7679,900
#25:27342,945
#26:7906,487
#24:27810,1236
#25:28514,2097
#25:29330,2219
#26:8334,394
#22:29457,2948
#24:30159,138
#22:30712,228
#22:30711,1795
#27:8647,858
#24:30629,1738
#25:31214,212
#22:31340,1004
#23:31575,4100
#23:38038,6255
#28:10719,1232
#23:38034,5940
#23:18056,725
#23:18175,631
#24:18128,362
#26:5138,286
#25:18086,284
#24:18317,546
#27:5149,271
#22:18397,315
#22:18148,2125
#24:18070,344
#26:5127,190
#25:18028,272
#22:18150,6404
#27:5089,271
#23:18118,911
#24:18737,303
#27:5225,913
#25:18695,136
#24:18740,905
#27:5227,382
#22:18820,1091
#23:19245,1307
#24:19198,2434
#28:5332,697
#25:19156,539
#29:5295,277
#22:19278,1620
#26:5408,473
#23:19246,2841
#24:19199,5261
#24:19197,6539
#26:5407,1475
#25:19155,1704
#27:5369,322
#22:19277,933
#24:22315,1710
#23:22362,2703
#23:22361,2407
#24:22312,3600
#23:22359,2394
#22:22391,2092
#22:25005,1431
#23:24973,4138
#28:7001,1246
#22:25006,1130
#25:25706,1085
#22:25002,1046
#28:7000,448
#23:24970,156
#29:6962,359
#24:24921,810
#23:24968,2546
#23:24967,589
#27:7037,507
#24:24918,495
#28:6999,680
#25:24874,204
#29:6961,481
#22:25000,613
#23:24966,533
#29:6960,432
#24:24917,537
#26:7078,751
#22:24999,162
#22:26431,733
#26:7518,239
#23:26399,484
#27:7477,413
#24:26350,225
#25:26305,559
#24:25751,568
#28:7265,792
#25:25707,166
#22:25834,769
#27:7304,472
#23:25802,4282
#28:7266,972
#24:25753,3287
#23:26146,346
#24:26097,324
#25:25710,2534
#25:26052,2520
#28:7375,1104
#22:26178,2094
#22:26177,755
#27:7413,427
#23:26145,783
#25:26053,2320
#25:26302,371
#26:7517,529
#22:26428,4895
#25:39175,965
#26:11183,293
#22:39313,838
#227:9877,237
#225:35415,245
#228:9875,252
#222:35421,1048
#225:35413,854
#229:9871,431
#222:35419,510
#226:9877,1055
#223:35418,390
#227:9876,880
#224:35415,391
#228:9874,1674
#229:9872,1179
#222:35420,1493
#226:9878,742
#223:35419,1510
#222:35416,3184
#227:9875,510
#223:35415,487
#223:35420,998
#225:35409,226
#222:35415,865
#223:35416,817
#224:35412,1295
#224:35410,2314
#222:35414,1533
#226:9876,303
#223:35413,645
#225:35408,1029
#222:35413,915
#224:35409,745
#224:35408,768
#229:9870,393
#225:35407,195
#224:37142,91
#225:37137,578
#225:37145,368
#228:10388,530
#222:37159,373
#222:41886,1114
#223:41882,525
#224:41877,621
#225:41870,1238
#224:41878,2058
#227:11679,432
#225:41871,7745
#222:41910,1389
#226:11689,311
#223:41906,880
#224:41898,301
#228:11676,1230
#225:41891,487
#222:41908,308
#223:41904,303
#224:41901,135
#222:41914,3499
#222:41924,638
#226:11694,601
#223:41922,420
#227:11690,616
#224:41917,256
#225:41902,557
#225:41884,272
#226:11688,1459
#223:41897,150
#222:41898,1194
#225:41876,896
#224:41883,871
#224:41879,2072
#228:11671,943
#225:41872,516
#224:41893,4963
#229:11673,1034
#224:41899,2752
#223:41905,169
#222:41888,309
#222:41893,398
#226:11685,1128
#223:41889,133
#24:18252,524
#25:18094,1906
#25:18244,1754
#23:18489,1765
#24:19370,1860
#24:19381,1319
#25:19339,168
#29:5403,267
#22:19656,1999
#22:18273,380
#22:18467,1995
#23:19189,4325
#23:19194,7471
#22:19687,131
#22:19778,2884
#22:19779,262
#23:19831,786
#24:19811,393
#25:20296,655
#23:20386,786
#22:20419,131
#25:20298,918
#24:21281,655
#24:29964,2490
#29:8376,1049
#25:29920,524
#24:22203,655
#27:6230,131
#25:22161,131
#28:6193,262
#22:25768,262
#22:26498,2621
#24:26993,393
#22:27135,786
#23:27104,262
#23:28286,786
#28:8414,655
#22:30046,4063
#23:30013,131
#224:36137,131
#23:34116,3015
#24:34066,131
#225:45597,2753
#223:45612,786
#25:18611,1311
#25:19250,774
#22:19372,1335
#22:19374,589
#23:19958,335
#24:19913,844
#22:20131,1210
#23:20266,914
#22:20392,928
#25:20339,91
#22:20461,1138
#29:5614,825
#25:20340,2367
#23:20431,1492
#22:20523,872
#23:20636,368
#26:5779,239
#24:20589,709
#27:5741,238
#25:20547,589
#23:20654,966
#24:20808,787
#22:20887,4142
#26:5850,236
#23:20855,459
#22:20937,4687
#23:20905,1086
#22:21013,1647
#28:5817,315
#23:20981,1453
#29:5780,1147
#25:20892,91
#22:21014,182
#26:5894,435
#23:20982,318
#27:5855,266
#24:20935,91
#25:20893,640
#23:21106,1544
#24:21059,211
#29:5817,251
#25:21017,226
#22:21139,1089
#23:21107,91
#25:21018,91
#22:21140,1136
#26:5953,923
#22:21188,229
#23:21156,90
#25:21160,790
#23:21394,227
#26:6027,251
#25:21305,453
#22:21427,407
#23:21395,778
#24:21348,182
#25:21306,591
#22:21428,272
#23:21396,317
#24:21349,421
#27:5988,859
#25:21307,272
#23:21526,909
#24:21966,272
#26:6207,1499
#22:22046,181
#23:22014,376
#27:6168,293
#24:21967,416
#28:6131,832
#25:21925,385
#29:6094,737
#22:22047,209
#23:22016,1019
#24:21969,375
#22:22049,653
#29:6095,1223
#23:22017,543
#24:21970,595
#25:22226,1043
#25:22571,584
#26:6392,415
#22:22694,590
#27:6352,429
#23:22662,153
#23:22669,637
#23:22666,91
#24:22619,727
#25:22575,842
#23:22665,891
#23:22670,453
#24:22813,909
#29:6342,1669
#25:22770,212
#23:22958,91
#24:22911,910
#29:6377,591
#22:22991,865
#23:22959,309
#22:22992,179
#23:22960,1775
#24:22913,452
#22:23084,595
#23:23052,1729
#29:6404,623
#25:22998,182
#22:23121,1411
#23:23089,317
#22:23147,227
#28:6459,380
#23:23115,1088
#29:6422,235
#24:23068,240
#26:6537,263
#25:23025,318
#22:23148,2315
#24:24098,1048
#22:24178,890
#25:24053,546
#24:24097,1151
#22:24176,365
#29:6730,521
#23:24144,762
#26:6847,389
#24:24096,864
#27:6807,380
#22:24177,957
#23:24145,90
#24:24463,724
#22:24545,91
#23:24513,989
#28:6853,838
#24:24464,424
#24:24897,838
#25:24853,444
#23:24948,363
#24:24899,878
#22:25041,590
#27:7050,743
#23:25009,306
#25:25503,1092
#22:25629,271
#24:25548,500
#22:25630,272
#23:25598,592
#28:7192,1263
#25:25505,564
#29:7154,246
#22:25631,684
#24:25550,273
#26:7272,564
#22:25632,499
#23:25600,136
#25:25721,864
#22:25847,94
#28:7270,679
#23:25815,136
#24:25766,410
#29:7232,555
#25:25722,272
#26:7350,397
#22:25848,728
#23:25816,463
#27:7309,386
#24:25767,662
#28:7271,90
#25:25723,865
#29:7233,410
#23:25817,90
#24:25768,1186
#26:7351,337
#25:25724,1681
#25:25728,181
#22:25854,3771
#25:25729,179
#26:7353,160
#22:25855,2330
#28:7274,611
#25:25730,632
#29:7236,1371
#22:25856,1548
#27:7313,354
#25:25731,409
#27:7360,165
#28:7322,606
#25:25886,1016
#25:25952,181
#22:26078,1003
#25:26787,2054
#26:7643,1368
#22:26913,2150
#25:27263,864
#24:27308,706
#28:7692,295
#22:27391,409
#26:7773,1287
#24:27309,136
#25:27265,867
#26:7774,1508
#23:27360,454
#28:7695,830
#25:27268,350
#26:7776,662
#22:27396,956
#26:7777,360
#23:27364,454
#28:7697,530
#22:27398,273
#24:27316,1036
#26:7778,326
#22:27399,162
#24:28034,441
#25:27266,1453
#27:7734,242
#23:27363,367
#28:7696,650
#24:27314,371
#25:27270,868
#25:27271,868
#29:7659,1281
#23:27365,909
#27:7736,235
#25:27273,729
#22:27400,91
#24:27318,138
#25:27274,318
#22:27401,97
#25:27990,830
#22:28117,830
#24:28601,999
#23:28651,589
#25:28559,136
#29:8022,268
#22:28686,369
#26:8141,933
#23:28653,227
#24:28604,225
#27:8099,363
#25:28560,976
#25:29287,137
#22:29414,1121
#24:29334,974
#25:29290,1092
#22:29417,719
#23:30462,91
#24:30413,1320
#29:8504,571
#25:30369,1193
#23:30463,135
#24:30414,1594
#26:8623,86
#27:8581,948
#22:30497,1317
#28:8543,738
#24:30415,136
#29:8505,1189
#25:30371,273
#25:30372,165
#23:30466,181
#24:30417,524
#25:30373,359
#23:30467,1057
#26:8624,285
#24:30418,4627
#28:8544,613
#22:30501,620
#23:30468,3095
#24:30419,907
#22:30502,1180
#25:31067,500
#22:31194,136
#23:31161,402
#24:31112,955
#22:31195,1248
#23:31162,370
#24:31732,548
#22:31817,2218
#25:31690,439
#27:8962,301
#22:31819,629
#28:8924,273
#23:31785,1162
#29:8885,1302
#24:31735,128
#24:33157,136
#25:33113,1316
#27:9335,1010
#22:33242,1412
#23:33208,868
#24:33158,90
#25:33114,91
#23:33209,317
#24:33159,2310
#23:33307,1683
#24:33257,227
#22:33343,136
#23:33308,1100
#26:9414,740
#24:33258,609
#25:33213,1090
#22:33344,226
#23:33309,638
#24:33259,317
#27:9370,235
#22:33345,91
#23:33310,1590
#28:9331,747
#24:33260,567
#23:33904,817
#25:33809,922
#26:9611,155
#22:33940,494
#23:34434,136
#24:34384,1409
#25:34339,84
#22:34470,559
#27:9737,1151
#23:34435,372
#24:34385,227
#25:34340,165
#28:9698,257
#29:9658,1239
#23:34436,136
#26:9782,279
#25:34341,639
#27:9738,248
#22:34472,588
#28:9699,1503
#23:34437,607
#29:9659,765
#24:34387,837
#26:9783,287
#25:34342,1334
#27:9739,424
#22:34473,768
#28:9700,240
#23:34438,271
#24:36684,1628
#25:36637,2681
#22:36775,91
#23:36735,1640
#24:36685,10017
#25:36638,137
#22:36776,1866
#23:36736,1042
#26:10434,1004
#25:36639,1087
#22:36777,1090
#27:10388,236
#23:36737,181
#22:37512,146
#24:37424,864
#25:37377,545
#24:37425,454
#22:37516,1277
#26:10837,399
#25:38015,2782
#27:10791,551
#22:38153,864
#23:38113,499
#28:10752,573
#24:38063,907
#23:38192,810
#28:10781,693
#24:38142,7275
#29:10739,592
#25:38095,4910
#24:38264,1003
#22:38356,941
#25:38503,862
#26:10993,240
#23:38601,799
#27:10947,1131
#24:38551,136
#28:10908,453
#25:38504,136
#29:10866,651
#22:38642,181
#26:10994,440
#23:38602,136
#27:10948,328
#24:38552,408
#28:10909,370
#25:38505,187
#29:10867,238
#23:38603,1630
#24:38553,863
#26:10995,278
#22:38644,769
#23:38604,181
#24:38554,489
#27:10949,1057
#25:38507,177
#23:38946,1000
#24:38896,317
#25:38849,899
#22:38987,2185
#23:38947,90
#222:33609,181
#223:33609,1823
#229:9343,860
#225:33608,298
#222:33610,1021
#223:33924,272
#222:33925,453
#223:33925,408
#225:33924,91
#222:33926,443
#228:9443,421
#223:33926,902
#224:33926,1021
#225:33925,371
#223:33927,374
#224:33927,1699
#225:33926,363
#229:9442,555
#222:33928,230
#226:9444,220
#223:33928,216
#227:9444,1042
#224:33928,363
#225:33927,362
#222:33929,1074
#228:9444,564
#223:33929,3727
#225:34035,591
#226:9474,306
#223:34037,136
#224:34037,604
#222:37786,1074
#226:10585,467
#225:37773,498
#223:37784,360
#224:37779,398
#227:10581,544
#225:37774,440
#228:10575,332
#222:37788,228
#229:10572,427
#225:37775,1051
#226:10586,236
#222:37789,775
#223:37786,636
#227:10582,1569
#224:37781,2636
#228:10576,250
#225:37776,271
#222:37790,890
#223:37787,317
#224:37782,195
#225:37777,953
#229:10573,934
#223:37788,139
#224:37783,90
#225:37778,273
#226:10587,1532
#223:37789,342
#224:37784,1091
#227:10583,1445
#222:37793,253
#228:10577,784
#223:37790,371
#229:10574,1396
#224:37785,331
#226:10588,271
#225:37780,1069
#227:10584,517
#222:37794,272
#223:37791,730
#228:10578,738
#224:37786,2092
#229:10575,804
#225:37781,130
#226:10589,1187
#222:37795,1346
#227:10585,235
#223:37792,546
#228:10579,921
#225:37782,181
#222:37796,593
#223:37793,137
#224:37788,592
#225:37783,726
#222:37797,193
#229:10576,354
#223:37794,86
#226:10590,449
#224:37789,75
#227:10586,1683
#225:37784,258
#228:10580,581
#223:37795,317
#223:38436,136
#222:38441,136
#223:38438,587
#224:38433,181
#225:38428,506
#225:38431,1229
#222:38445,408
#227:10763,424
#223:38442,317
#224:38437,410
#225:38432,414
#228:10757,237
#222:38446,417
#223:38443,91
#224:38438,636
#222:38447,1068
#224:39221,591
#225:39216,555
#223:39227,408
#229:10959,374
#224:39222,281
#226:10973,1449
#225:39217,342
#225:39218,1351
#222:39232,341
#223:39229,181
#225:39219,431
#229:10960,334
#222:39233,455
#226:10974,1091
#223:39230,554
#225:39220,2605
#223:39653,959
#224:39648,336
#226:11083,321
#225:39641,1000
#222:40001,136
#223:39997,984
#224:39992,758
#225:39985,1092
#222:40002,805
#229:11151,388
#223:39998,680
#225:39986,1322
#224:40156,136
#225:40149,409
#228:11198,1258
#222:40166,775
#225:41912,545
#222:41929,181
#229:11679,1408
#224:41920,172
#225:41913,91
#222:41930,635
#223:41926,370
#222:41931,335
#223:41927,820
#224:41922,91
#225:41915,90
#222:41932,1077
#223:41928,226
#224:41923,1045
#225:41916,681
#226:11695,681
#222:41933,409
#227:11691,315
#224:41924,166
#228:11683,1683
#225:41917,2228
#223:41930,227
#224:41925,1684
#229:11680,1633
#225:41918,261
#222:41935,136
#223:41931,1729
#224:41926,362
#225:41919,681
#222:41936,770
#224:41927,772
#225:41920,636
#226:11696,239
#223:41933,272
#224:41928,1364
#227:11692,243
#225:41921,228
#222:41938,91
#223:41934,136
#224:41929,363
#222:41939,91
#223:41935,637
#224:41930,408
#225:41923,590
#222:41940,834
#223:41936,181
#224:41931,955
#225:41924,215
#222:41941,271
#223:41937,864
#224:41932,91
#228:11684,1403
#225:41925,4280
#225:46647,136
#222:46669,455
#223:46664,156
#226:13064,285
#224:46658,445
#225:46648,919
#222:46670,1109
#223:46665,636
#227:13059,829
#224:46659,314
#222:46671,4214
#229:13043,1069
#224:46660,1096
#222:46672,1140
#223:46670,870
#228:13050,1285
#224:46664,364
#225:46654,181
#222:46676,847
#225:46655,526
#222:46677,1546
#223:46672,1085
#229:13044,566
#224:46666,251
#225:46656,1042
#222:46678,791
#223:46673,91
#224:46667,783
#225:46657,136
#222:46679,324
#226:13066,419
#223:46674,2073
#224:46668,135
#225:46658,591
#227:13061,334
#223:46675,501
#224:46669,222
#228:13051,1347
#225:46659,2364
#229:13045,1110
#222:46681,386
#226:13067,772
#223:46676,231
#23:19309,717
#26:5471,532
#22:19503,182
#27:5433,430
#23:19471,170
#28:5396,1138
#24:19424,500
#22:20173,273
#27:5611,237
#23:20141,546
#28:5574,287
#24:20094,182
#25:20051,629
#29:5401,236
#25:19518,3188
#22:20397,146
#26:5708,810
#24:20318,513
#27:5670,486
#22:20398,1227
#24:19643,625
#25:19600,749
#24:19648,274
#25:19606,738
#23:19691,1161
#24:19910,1004
#23:20224,914
#25:20174,949
#23:20263,476
#22:20525,2470
#24:20513,659
#24:20595,471
#25:20558,2951
#24:20757,8542
#24:20384,1421
#25:20628,1833
#26:5900,256
#25:20917,510
#27:5861,1649
#22:21039,424
#26:5898,730
#25:20913,592
#25:20916,1513
#24:20958,331
#23:21004,1568
#26:5899,309
#24:20957,280
#27:5860,1021
#25:20915,175
#28:5823,605
#22:21037,229
#29:5786,237
#23:21005,154
#28:5822,278
#25:20914,342
#29:5785,1529
#22:21036,853
#22:21035,853
#27:5859,960
#23:21003,199
#24:21246,82
#22:22103,722
#25:22449,77
#22:20460,226
#23:20428,741
#22:20641,526
#25:20522,1085
#24:20664,576
#27:5767,770
#22:20744,369
#28:5730,238
#24:20665,351
#23:20944,1169
#23:20942,80
#27:5844,551
#24:20895,137
#25:20853,182
#22:20975,237
#28:5807,277
#23:20943,181
#29:5770,405
#25:20854,1461
#25:23286,1417
#27:6593,497
#22:23409,669
#28:6556,1008
#23:23377,999
#22:20977,946
#23:22819,136
#24:22772,454
#25:22729,88
#27:6405,358
#22:22852,101
#28:6368,237
#23:22820,182
#24:22773,1984
#25:21626,1642
#22:21748,554
#27:6079,1041
#23:21716,586
#28:6042,1175
#24:21669,2368
#23:22818,415
#23:22315,321
#27:6248,635
#24:22268,2506
#22:22854,2156
#25:23282,346
#29:6517,1010
#23:23373,1822
#24:23326,637
#25:20424,1785
#23:23478,992
#25:23671,206
#24:27527,225
#24:27660,145
#22:27748,1292
#25:28257,2125
#28:7981,75
#25:28274,2654
#22:30000,582
#25:30259,626
#23:30928,341
#23:31307,456
#22:31532,2732
#24:21190,393
#27:5937,131
#25:21148,786
#24:21593,655
#25:21551,1704
#23:23612,393
#25:21794,262
#24:21882,655
#25:21839,3277
#29:6067,131
#24:21799,863
#22:22093,2279
#22:22162,1761
#24:22089,1935
#22:22310,1874
#23:22441,739
#26:6334,351
#24:22394,568
#27:6294,62
#25:22351,2088
