legid,reconstructed_duration
#22:5654,591
#23:5693,621
#24:5665,6802
#25:5643,466
#22:5712,1549
#24:9239,222
#25:9213,180
#22:9291,984
#22:9341,465
#23:9321,274
#24:9290,228
#24:9398,545
#24:9419,410
#25:9393,320
#25:9400,274
#27:2493,521
#22:9478,381
#25:9456,547
#22:9579,447
#22:9769,337
#23:9842,318
#24:9811,1627
#29:2545,311
#25:9784,158
#26:2623,630
#22:9863,317
#27:2597,1493
#23:9843,384
#24:9983,2073
#24:10323,1218
#25:10296,1411
#22:10376,594
#23:10356,459
#22:11147,365
#24:11226,556
#22:11336,1309
#24:11333,559
#24:5619,1315
#25:5596,1302
#28:1489,838
#23:5647,87
#22:7327,709
#28:1902,917
#24:7278,1034
#29:1877,887
#25:7254,371
#23:7307,664
#27:1926,1395
#24:7277,596
#22:7326,419
#23:9259,168
#26:2469,789
#24:9228,361
#24:7610,553
#22:9126,226
#29:2353,268
#23:9106,182
#26:2430,663
#24:9075,367
#22:9275,914
#28:2418,270
#24:9224,829
#29:2391,1620
#25:9198,898
#26:2468,238
#23:9256,420
#24:9074,345
#24:9227,1168
#23:9258,455
#24:11232,600
#22:11881,706
#23:11860,917
#23:11861,1731
#28:3186,332
#24:11827,974
#24:11824,317
#22:11878,410
#25:6202,2228
#22:6273,262
#28:1648,918
#23:6255,786
#23:7001,1311
#23:6651,131
#29:1713,131
#24:6621,1049
#25:6598,524
#22:7017,2314
#25:7048,655
#24:8252,262
#22:8321,1835
#23:8970,2490
#26:2429,131
#23:9100,131
#24:9069,2097
#27:2410,655
#23:9130,1573
#25:9073,524
#25:10066,2228
#23:15482,1704
#26:4369,131
#24:15441,1442
#22:15503,655
#23:15479,1049
#25:15403,262
#22:6351,262
#23:6333,1180
#24:6304,786
#23:6335,655
#23:6445,524
#23:6447,1180
#24:6418,655
#25:6395,262
#22:7889,393
#23:7869,1442
#28:2032,786
#25:7815,393
#22:7890,918
#23:7870,262
#29:2006,131
#24:7840,524
#25:7816,393
#22:7891,262
#26:2081,131
#23:7871,131
#27:2057,1311
#24:7841,131
#25:8399,524
#29:2183,393
#22:8477,524
#26:2260,524
#23:8457,262
#23:8593,786
#22:18236,262
#26:5143,262
#23:18204,786
#24:18157,262
#24:18196,262
#26:5150,393
#24:18247,524
#22:18474,1573
#23:18443,1835
#22:18521,1049
#24:18651,524
#23:18731,524
#24:19252,1442
#29:5310,393
#25:19210,6291
#24:19263,1442
#25:19221,131
#24:19396,262
#28:5388,131
#25:19354,131
#22:19476,655
#23:19444,262
#24:19397,262
#25:19355,786
#23:19445,655
#23:20844,393
#29:5734,1049
#24:20781,1180
#23:20825,2228
#24:20778,393
#25:21113,524
#22:21235,1311
#23:21203,393
#24:21156,393
#27:5929,1442
#25:21114,131
#29:5855,655
#24:22354,918
#25:22311,655
#27:6281,262
#25:22312,918
#26:6322,786
#23:22403,786
#24:24636,655
#22:22557,786
#22:22963,524
#23:22931,524
#24:22477,2228
#29:6241,131
#25:22434,786
#27:6351,1311
#23:22658,131
#24:22625,655
#25:22562,1835
#27:6347,131
#22:22685,262
#28:6310,655
#23:22653,2228
#29:6273,2228
#28:6311,131
#22:22686,131
#29:6274,262
#25:24592,131
#23:24686,131
#24:24637,786
#26:7002,918
#24:24638,393
#25:24594,262
#22:24720,393
#23:24688,524
#24:24639,1573
#29:6885,1049
#25:24595,393
#24:22886,1311
#28:6404,786
#25:22843,3408
#26:6482,1049
#22:22966,2621
#23:24695,262
#24:24646,393
#25:24602,393
#22:24728,262
#24:24647,262
#25:24604,131
#28:6925,262
#24:24649,131
#29:6887,393
#22:24731,262
#25:24598,262
#28:6924,393
#22:24724,1442
#23:24692,131
#25:24599,262
#22:24725,524
#23:24699,393
#24:24650,262
#26:7005,786
#25:24606,393
#27:6964,262
#22:24732,262
#23:24700,524
#28:6926,524
#24:24651,655
#25:24607,393
#24:24652,1311
#26:7006,918
#22:24735,2228
#25:25020,918
#23:25115,262
#29:7008,786
#24:25066,131
#23:25116,393
#26:7126,131
#24:31317,786
#22:33542,524
#25:33412,1049
#24:33457,1180
#23:33507,524
#22:34004,393
#23:33970,918
#25:35971,524
#25:37999,393
#27:10785,131
#22:38137,131
#23:38369,393
#24:38319,524
#25:38272,524
#26:10921,786
#23:38568,131
