legid,ACT,CP,GT,WYR
#224:40511,1,4,0,0
#224:40521,0,1,0,0
#224:40544,0,0,2,0
#224:40554,0,-4,-1,0
#224:40557,0,2,-2,0
#224:40562,0,2,0,0
#224:40576,0,4,0,0
#224:40578,0,7,1,0
#224:40579,0,1,-1,0
#224:40582,0,1,-1,0
#224:40597,0,4,4,0
#224:40602,0,5,3,0
#224:40605,0,-2,0,0
#224:40608,0,-1,1,0
#224:40613,0,1,1,0
#224:40614,-1,2,-1,0
#224:40616,0,0,1,0
#224:40617,0,-2,0,0
#224:40618,0,0,2,0
#224:40619,0,0,-1,0
#224:40621,0,2,0,0
#224:40623,0,1,0,0
#224:40625,0,-1,0,0
#224:40626,0,0,0,-1
#224:40629,0,0,0,0
#224:40635,0,0,4,0
#224:40637,0,0,4,0
#224:40641,0,-2,3,0
#224:40643,1,0,1,0
#224:40644,1,0,1,0
#224:40647,0,0,1,0
#224:40649,0,0,1,0
#224:40650,1,0,4,0
#224:40672,1,9,12,0
#224:40673,1,9,12,0
#224:40674,1,11,9,0
#224:40681,1,9,12,0
#224:40683,1,9,12,0
#224:40687,1,9,12,0
#224:40688,1,9,12,0
#224:40689,1,9,12,0
#224:40692,1,11,9,0
#224:40694,1,9,12,0
#224:40695,1,11,8,0
#224:40696,1,11,9,0
#224:40697,1,9,12,0
#224:40702,1,9,12,0
#224:40703,1,9,12,0
#224:40705,1,9,12,0
#224:40706,1,9,12,0
#224:40710,1,11,8,0
#224:40712,1,11,9,0
#224:40715,1,11,9,0
#224:40717,1,7,12,0
#224:40720,1,9,12,0
#224:40723,1,9,12,0
#224:40726,1,9,12,0
#224:40731,1,9,12,0
#224:40734,0,-7,0,0
#224:40739,0,0,1,0
#224:40740,0,1,2,0
#224:40751,0,1,0,0
#224:40760,0,0,2,0
#224:40766,0,-2,3,0
#224:40770,1,7,12,0
#224:40772,0,-2,6,0
#224:40831,1,0,4,0
#224:40833,1,0,1,0
#224:40834,0,3,3,0
#224:40855,0,0,0,0
#224:40892,0,5,4,0
#224:40897,0,4,2,0
#224:40908,0,0,0,0
#224:40922,0,0,0,0
#224:40923,0,0,0,0
#224:40926,1,0,1,0
#224:40928,-1,0,0,-1
#224:40929,1,0,0,0
#224:40933,1,1,0,0
#224:40934,1,1,0,0
#224:40935,1,0,2,0
#224:40936,1,0,0,0
#224:40937,1,0,0,0
#224:40938,0,0,1,0
#224:40939,1,1,0,0
#224:40941,1,1,0,0
#224:40942,1,0,0,0
#224:40943,1,1,0,0
#224:40944,1,0,0,0
#224:40949,0,0,0,0
#224:40958,1,7,7,0
#224:40972,1,4,4,0
#224:40973,1,6,6,0
#224:40976,0,4,4,0
#224:40977,0,4,2,0
#224:40978,0,0,0,0
#224:40980,-1,8,3,0
#224:40981,0,7,4,0
#224:40986,0,-1,-1,0
#224:40987,0,0,2,0
#224:40988,0,-1,4,0
#224:40990,0,-4,0,0
#224:40991,0,3,3,0
#224:40992,0,5,5,0
#224:40993,0,1,0,0
#224:40994,0,-6,-2,0
#224:40995,0,-3,1,0
#224:40996,0,2,3,0
#224:40997,0,-1,2,0
#224:40998,0,-3,-2,0
#224:40999,0,-4,2,0
#224:41000,0,2,3,0
#224:41002,0,3,1,0
#224:41003,0,3,4,0
#224:41004,0,-2,1,0
#224:41005,0,-7,-2,0
#224:41006,0,-2,0,0
#224:41007,0,-4,-2,0
#224:41008,0,-6,-1,0
#224:41009,0,0,2,0
#224:41010,0,-2,0,0
#224:41011,0,1,-1,0
#224:41014,-1,5,6,0
#224:41015,1,8,6,0
#224:41023,-1,3,6,0
#224:41030,1,3,2,2
#224:41033,1,4,6,0
#224:41035,1,9,5,0
#224:41040,-1,1,4,0
#224:41047,1,0,0,0
#224:41049,0,1,0,0
#224:41050,0,-1,0,0
#224:41051,1,5,7,0
#224:41052,0,0,2,0
#224:41053,0,0,1,0
#224:41055,0,3,1,0
#224:41057,0,0,1,0
#224:41058,0,0,2,0
#224:41062,0,3,0,0
#224:41063,1,0,0,0
#224:41066,0,2,0,0
#224:41067,0,0,0,0
#224:41069,0,2,2,0
#224:41074,1,0,0,0
#224:41080,0,0,2,0
#224:41083,0,0,11,0
#224:41091,0,4,4,0
#224:41094,0,5,2,0
#224:41103,1,1,0,0
#224:41106,1,0,0,0
#224:41107,1,0,0,0
#224:41115,1,11,7,0
#224:41116,1,11,8,0
#224:41135,1,0,0,0
#224:41139,1,3,3,0
#224:41141,1,3,3,0
#224:41143,1,3,3,0
#224:41144,1,3,3,0
#224:41146,1,3,3,0
#224:41147,1,3,3,0
#224:41158,0,0,5,0
#224:41167,1,9,2,0
#224:41169,0,5,2,0
#224:41180,0,1,1,0
#224:41190,0,4,3,0
#224:41195,0,2,3,0
#224:41225,1,5,3,0
#224:41233,0,3,-1,0
#224:41243,0,2,8,0
#224:41244,0,2,6,0
#224:41246,0,0,1,-1
#224:41248,0,0,-1,-1
#224:41249,0,1,-1,0
#224:41253,0,1,1,0
#224:41255,1,1,2,0
#224:41256,1,3,2,0
#224:41257,1,8,5,0
#224:41295,0,2,6,0
#224:41304,0,0,0,0
#224:41311,1,0,0,0
#224:41312,1,0,0,0
#224:41335,0,0,0,0
#224:41336,0,8,5,0
#224:41344,0,5,4,0
#224:41345,1,1,3,0
#224:41349,1,0,0,0
#224:41351,0,-1,1,0
#224:41354,0,0,0,0
#224:41380,0,0,0,0
#224:41382,0,0,0,0
#224:41384,0,0,0,0
#224:41385,0,0,0,0
#224:41387,0,0,0,0
#224:41391,0,0,0,0
#224:41392,0,0,0,0
#224:41394,0,0,0,0
#224:41407,0,2,1,0
#224:41410,1,9,12,0
#224:41415,0,1,-1,0
#224:41416,0,3,2,0
#224:41420,1,2,6,0
#224:41422,0,3,3,0
#224:41425,1,4,4,0
#224:41435,0,8,3,0
#224:41436,1,11,8,0
#224:41441,1,0,0,0
#224:41460,0,4,2,0
#224:41461,0,1,0,0
#224:41462,0,1,1,0
#224:41463,0,1,0,0
#224:41464,0,1,0,0
#224:41465,0,0,-2,0
#224:41466,0,1,0,0
#224:41467,0,-1,0,0
#224:41470,0,-1,0,0
#224:41471,0,0,-3,0
#224:41472,0,1,0,0
#224:41476,0,1,2,0
#224:41478,1,3,0,0
#224:41483,0,0,-2,0
#224:41498,0,3,3,0
#224:41503,1,0,0,0
#224:41505,1,1,0,0
#224:41521,0,0,1,0
#224:41522,0,0,2,0
#224:41536,1,0,0,0
#224:41537,1,3,3,0
#224:41549,1,9,-2,0
#224:41561,1,0,0,0
#224:41569,0,0,-2,0
#224:41574,0,1,1,0
#224:41580,1,0,0,0
#224:41584,1,1,1,0
#224:41602,1,7,10,0
#224:41606,0,2,2,0
#224:41610,0,1,2,0
#224:41614,0,1,2,0
#224:41618,0,-1,0,0
#224:41643,0,1,0,0
#224:41652,1,0,2,0
#224:41659,0,0,-1,0
#224:41660,0,0,0,0
#224:41662,0,0,0,0
#224:41665,0,-2,2,0
#224:41673,0,3,1,0
#224:41675,0,0,0,0
#224:41678,1,0,0,0
#224:41679,0,3,1,0
#224:41681,0,-1,0,0
#224:41682,0,0,1,0
#224:41684,0,0,0,0
#224:41687,0,1,0,0
#224:41690,0,1,2,0
#224:41696,0,3,1,0
#224:41717,1,3,3,0
#224:41749,0,0,1,0
#224:41760,0,2,0,0
#224:41772,0,0,-1,0
#224:41804,0,0,1,0
#224:41819,0,1,3,0
#224:41820,0,1,3,-1
#224:41822,0,0,1,0
#224:41823,0,-1,0,0
#224:41826,1,0,-1,1
#224:41828,1,9,10,7
#224:41833,1,10,8,0
#224:41834,0,-2,-1,0
#224:41836,1,9,12,0
#224:41839,0,-1,-1,0
#224:41841,0,0,-1,0
#224:41871,0,1,1,0
#224:41909,0,0,0,0
#224:41921,0,-1,-1,0
#224:41935,0,0,0,0
#224:41937,0,0,2,0
#224:41944,1,0,0,0
#224:41993,0,0,0,0
#224:41994,0,0,0,0
#224:41996,0,0,0,0
#224:41997,0,0,0,0
#224:42000,0,0,0,0
#224:42001,0,0,0,0
#224:42002,0,0,0,0
#224:42003,0,0,0,0
#224:42004,0,0,0,0
#224:42006,0,0,0,0
#224:42007,0,0,0,0
#224:42008,0,0,0,0
#224:42009,0,0,0,0
#224:42010,0,0,0,0
#224:42013,0,0,0,0
#224:42015,0,1,-2,0
#224:42016,0,2,1,0
#224:42017,-1,3,1,0
#224:42020,0,1,0,0
#224:42022,1,3,4,0
#224:42025,1,9,4,0
#224:42027,0,0,2,0
#224:42029,0,2,0,0
#224:42030,0,2,0,0
#224:42031,0,2,8,1
#224:42034,-1,0,2,0
#224:42035,0,0,1,0
#224:42039,0,0,0,0
#224:42040,1,11,9,0
#224:42044,0,0,0,0
#224:42056,0,0,0,0
#224:42057,0,0,0,0
#224:42058,0,0,0,0
#224:42061,0,0,0,0
#224:42067,0,0,0,0
#224:42069,0,0,0,0
#224:42077,0,0,0,0
#224:42078,0,0,0,0
#224:42083,0,0,0,0
#224:42084,0,0,0,0
#224:42086,0,0,0,0
#224:42089,0,0,0,0
#224:42096,0,-3,0,2
#224:42102,0,-2,0,0
#224:42113,0,1,0,0
#224:42118,0,-1,0,0
#224:42119,0,2,1,0
#224:42132,0,0,0,0
#224:42133,0,0,0,0
#224:42136,0,0,0,0
#224:42137,0,0,0,0
#224:42141,0,0,0,0
#224:42142,0,0,0,0
#224:42143,0,4,3,0
#224:42146,0,4,0,0
#224:42165,0,0,0,0
#224:42167,0,0,0,0
#224:42169,0,0,0,0
#224:42175,0,2,3,0
#224:42177,1,-1,-1,0
#224:42190,1,3,4,0
#224:42192,0,2,4,0
#224:42196,0,-2,-5,0
#224:42201,1,3,3,0
#224:42203,0,0,0,0
#224:42205,0,0,0,0
#224:42206,0,0,0,0
#224:42212,-1,4,-1,0
#224:42213,1,-1,1,0
#224:42217,0,4,6,0
#224:42226,0,-2,-3,0
#224:42228,0,2,3,0
#224:42230,0,9,9,0
#224:42231,0,2,4,0
#224:42238,0,0,1,0
#224:42243,0,0,0,0
#224:42247,0,-2,-1,0
#224:42248,0,0,-1,0
#224:42249,1,1,-1,0
#224:42251,0,-1,2,0
#224:42252,-1,8,9,0
#224:42261,0,-1,0,0
#224:42262,-1,-1,3,0
#224:42265,0,0,0,0
#224:42266,0,0,0,0
#224:42267,0,0,0,0
#224:42272,0,0,0,0
#224:42275,0,-1,2,1
#224:42276,0,1,7,0
#224:42277,0,1,4,0
#224:42284,0,4,1,0
#224:42288,1,7,6,0
#224:42295,0,0,2,0
#224:42297,1,3,7,0
#224:42299,1,11,5,0
#224:42300,1,8,8,0
#224:42303,0,0,0,0
#224:42304,0,0,0,0
#224:42309,0,0,0,0
#224:42312,0,0,0,0
#224:42320,0,0,0,0
#224:42321,0,0,0,0
#224:42322,0,0,0,0
#224:42323,0,0,0,0
#224:42327,0,0,1,0
#224:42331,0,0,2,0
#224:42341,-1,0,0,0
#224:42344,0,1,3,0
#224:42345,0,-5,-1,0
#224:42349,-1,3,-5,0
#224:42353,1,0,0,0
#224:42354,-1,7,0,0
#224:42356,-1,-4,-3,0
#224:42358,0,-8,-3,0
#224:42364,-1,-4,-4,0
#224:42381,-1,-6,-7,0
#224:42384,-1,-5,-6,0
#224:42439,0,3,1,0
#224:42443,1,1,0,0
#224:42445,1,1,0,0
#224:42446,1,1,0,0
#224:42448,1,1,0,0
#224:42449,1,1,0,0
#224:42450,1,0,0,0
#224:42452,-1,0,0,0
#224:42453,1,0,0,0
#224:42458,1,-1,1,-1
#224:42459,1,0,0,0
#224:42461,1,0,0,0
#224:42462,1,0,0,0
#224:42463,1,9,7,0
#224:42468,1,2,3,3
#224:42480,0,0,-1,0
#224:42506,0,0,1,0
#224:42517,0,0,0,0
#224:42519,0,0,0,0
#224:42527,0,0,-1,0
#224:42531,0,0,1,0
#224:42532,1,0,0,0
#224:42555,0,0,0,0
#224:42558,0,0,0,0
#224:42563,0,0,0,0
#224:42565,0,0,0,0
#224:42566,0,0,0,0
#224:42567,0,0,0,0
#224:42569,0,0,1,0
#224:42572,0,0,1,0
#224:42576,1,0,0,0
#224:42580,0,1,0,0
#224:42583,0,1,0,0
#224:42590,0,2,0,0
#224:42593,0,0,0,0
#224:42594,0,2,0,0
#224:42595,0,1,0,0
#224:42598,1,0,0,0
#224:42599,1,0,0,0
#224:42601,0,0,1,0
#224:42602,0,0,1,0
#224:42604,-1,1,1,0
#224:42613,-1,-3,3,0
#224:42621,-1,-1,7,0
#224:42637,0,0,0,0
#224:42641,0,4,1,0
#224:42645,0,0,0,1
#224:42656,0,-2,-1,0
#224:42657,0,0,1,0
#224:42663,0,1,2,0
#224:42716,0,0,0,-2
#224:42730,0,1,-3,0
#224:42748,1,3,3,4
#224:42789,0,3,1,0
#224:42797,0,4,2,0
#224:42798,0,5,2,0
#224:42801,1,0,0,0
#224:42823,0,0,1,0
#224:42825,0,0,1,0
#224:42837,1,1,-1,0
#224:42839,0,3,0,0
#224:42843,0,2,1,0
#224:42851,0,0,1,0
#224:42855,0,0,2,0
#224:42861,0,2,2,0
#224:42868,0,-1,1,0
#224:42878,1,7,9,0
#224:42879,1,11,5,0
#224:42883,0,0,0,0
#224:42905,0,-3,0,-2
#224:42913,1,3,3,0
#224:42919,1,2,3,2
#224:42924,0,0,3,0
#224:42925,0,2,2,0
#224:42927,0,0,3,0
#224:42929,0,0,3,0
#224:42930,0,0,0,0
#224:42945,0,-1,1,0
#224:42947,0,2,0,0
#224:42955,0,0,-1,0
#224:42957,1,9,13,0
#224:42958,0,0,0,0
#224:42961,-1,2,0,2
#224:42963,0,1,0,0
#224:42966,0,1,1,0
#224:42967,0,0,2,0
#224:42968,0,1,0,0
#224:42969,0,0,3,0
#224:42977,0,1,4,0
#224:42997,-1,1,-1,0
#224:43005,0,4,3,0
#224:43009,-1,2,0,0
#224:43010,0,-2,2,0
#224:43016,0,2,2,0
#224:43019,0,2,4,0
#224:43027,-1,-1,1,0
#224:43038,0,0,4,0
#224:43048,0,2,2,0
#224:43089,-1,0,0,0
#224:43091,-1,0,0,0
#224:43097,1,3,3,0
#224:43102,0,0,9,0
#224:43128,0,0,3,0
#224:43130,0,0,0,0
#224:43141,0,0,1,0
#224:43158,0,5,5,0
#224:43159,0,3,3,0
#224:43160,0,7,3,0
#224:43166,0,7,3,0
#224:43169,0,-5,0,0
#224:43170,1,8,8,0
#224:43206,0,0,3,0
#224:43218,1,9,10,6
#224:43221,0,2,0,0
#224:43225,0,0,0,0
#224:43226,0,0,0,0
#224:43238,0,1,2,0
#224:43247,0,1,1,0
#224:43248,0,3,4,0
#224:43250,0,-2,1,0
#224:43261,0,-2,1,0
#224:43264,0,-2,1,0
#224:43265,0,-2,1,0
#224:43269,0,2,0,0
#224:43271,0,5,4,0
#224:43275,0,3,5,0
#224:43280,0,1,-2,0
#224:43285,0,0,0,0
#224:43288,1,1,0,0
#224:43291,1,0,0,0
#224:43293,1,11,9,0
#224:43296,0,1,3,0
#224:43299,1,9,10,5
#224:43304,1,9,12,0
#224:43309,1,9,12,0
#224:43320,1,9,12,0
#224:43322,1,9,10,5
#224:43329,1,0,0,0
#224:43330,1,0,0,0
#224:43335,1,0,0,0
#224:43337,1,0,0,0
#224:43341,-1,11,9,0
#224:43349,1,0,0,0
#224:43355,1,0,0,0
#224:43361,1,9,12,0
#224:43363,0,-1,2,0
#224:43367,0,0,2,-1
#224:43368,0,0,0,-1
#224:43371,0,0,-1,0
#224:43374,0,0,0,1
#224:43378,0,1,0,0
#224:43379,0,1,2,0
#224:43380,0,0,1,0
#224:43391,0,1,2,0
#224:43393,0,-2,2,0
#224:43402,1,0,0,0
#224:43408,0,0,2,0
#224:43410,0,0,1,0
#224:43416,0,0,2,0
#224:43417,0,0,2,0
#224:43419,-1,-5,1,0
#224:43421,0,-1,4,0
#224:43427,1,0,1,0
#224:43432,0,-4,2,-3
#224:43452,0,1,0,0
#224:43462,0,0,2,0
#224:43463,0,0,3,0
#224:43467,0,0,2,0
#224:43468,0,0,2,0
#224:43469,0,0,2,0
#224:43471,1,1,2,0
#224:43472,0,0,2,0
#224:43477,1,0,2,1
#224:43478,0,0,2,0
#224:43484,0,0,1,0
#224:43487,1,9,8,0
#224:43507,0,0,0,-1
#224:43525,0,-1,-1,0
#224:43538,0,0,2,0
#224:43539,0,-7,4,0
#224:43540,0,0,0,0
#224:43542,1,7,4,2
#224:43543,-1,6,3,0
#224:43563,0,0,2,0
#224:43565,0,0,2,0
#224:43566,1,0,0,0
#224:43567,0,0,2,0
#224:43568,0,0,2,0
#224:43574,0,0,3,0
#224:43640,-1,5,0,0
#224:43655,-1,1,1,0
#224:43686,-1,-1,3,0
#224:43689,-1,0,0,0
#224:43690,-1,0,0,0
#224:43691,-1,0,0,0
#224:43692,-1,0,0,0
#224:43694,-1,0,0,0
#224:43696,-1,0,0,0
#224:43703,-1,0,0,0
#224:43704,-1,0,0,0
#224:43714,1,9,12,0
#224:43721,0,0,2,0
#224:43736,1,2,0,0
#224:43745,0,3,3,0
#224:43750,0,0,0,-1
#224:43758,0,0,2,0
#224:43771,0,0,4,0
#224:43774,0,0,1,0
#224:43786,1,0,0,0
#224:43798,0,2,3,0
#224:43803,0,0,-3,0
#224:43804,0,0,-1,0
#224:43806,0,0,3,0
#224:43816,0,0,3,0
#224:43823,0,0,0,-1
#224:43825,1,0,5,1
#224:43830,0,-2,0,0
#224:43834,0,0,3,0
#224:43837,0,0,4,0
#224:43841,0,0,3,0
#224:43842,1,1,3,0
#224:43843,1,3,3,0
#224:43848,0,1,0,0
#224:43850,0,4,1,0
#224:43857,1,3,3,0
#224:43858,0,1,1,0
#224:43862,0,4,0,0
#224:43863,0,2,1,0
#224:43864,0,4,1,0
#224:43865,0,1,0,0
#224:43867,1,3,0,0
#224:43873,0,0,0,0
#224:43884,0,-3,2,0
#224:43889,0,0,0,0
#224:43891,1,9,8,0
#224:43892,1,9,8,0
#224:43916,0,0,0,0
#224:43918,0,0,0,0
#224:43923,0,0,0,0
#224:43932,0,0,0,0
#224:43933,0,0,0,0
#224:43934,1,3,7,0
#224:43936,1,1,-1,0
#224:43937,1,9,8,0
#224:43938,1,1,4,0
#224:43939,0,3,1,0
#224:43940,0,3,1,0
#224:43945,0,0,1,0
#224:43950,0,0,0,0
#224:43953,0,0,0,0
#224:43962,1,-1,-2,0
#224:43965,0,-1,0,1
#224:43972,0,1,0,0
#224:43973,0,-1,5,0
#224:43980,0,2,1,0
#224:43982,-1,-7,-4,-4
#224:43984,1,7,2,0
#224:43986,0,0,0,0
#224:43992,0,3,2,0
#224:43993,1,9,10,5
#224:43994,0,3,2,0
#224:43999,0,0,1,0
#224:44000,0,0,1,0
#224:44002,1,9,10,5
#224:44005,1,-2,11,0
#224:44021,0,0,1,0
#224:44063,-1,-3,-4,0
#224:44081,0,0,0,0
#224:44084,0,0,0,0
#224:44116,0,3,10,0
#224:44133,0,0,3,0
#224:44135,1,2,1,0
#224:44137,0,4,1,0
#224:44143,0,1,1,0
#224:44146,0,2,2,0
#224:44148,0,4,2,0
#224:44149,1,2,1,0
#224:44151,0,0,-1,0
#224:44164,0,4,0,0
#224:44165,0,1,1,0
#224:44170,0,1,1,0
#224:44172,0,1,1,1
#224:44223,0,2,2,0
#224:44226,0,2,1,0
#224:44228,0,0,1,0
#224:44231,0,-2,1,0
#224:44234,-1,1,1,0
#224:44240,0,2,1,0
#224:44245,1,0,0,0
#224:44246,0,2,1,0
#224:44247,1,0,0,0
#224:44257,0,0,1,0
#224:44270,0,0,0,0
#224:44321,0,0,0,0
#224:44323,0,0,0,0
#224:44325,0,0,0,0
#224:44341,0,0,0,0
#224:44342,0,0,0,0
#224:44344,0,0,0,0
#224:44346,0,0,0,0
#224:44349,0,0,0,0
#224:44350,0,0,0,0
#224:44352,0,0,0,0
#224:44354,0,0,0,0
#224:44355,0,0,0,0
#224:44366,1,10,5,0
#224:44370,1,0,0,0
#224:44388,0,0,0,-1
#224:44389,0,2,2,0
#224:44393,0,0,1,0
#224:44395,0,0,-2,0
#224:44396,0,2,0,0
#224:44397,0,0,1,0
#224:44398,0,0,1,0
#224:44399,0,0,1,0
#224:44400,0,-4,-2,0
#224:44401,0,-4,1,0
#224:44403,0,-1,-1,0
#224:44408,0,1,5,0
#224:44416,-1,3,3,0
#224:44439,0,-1,0,0
#224:44441,0,1,2,0
#224:44447,1,1,3,0
#224:44452,1,-6,2,0
#224:44454,0,-4,3,0
#224:44456,-1,-9,0,-2
#224:44464,1,0,1,0
#224:44474,-1,7,6,0
#224:44477,1,-1,-5,0
#224:44491,0,1,1,0
#224:44493,-1,1,0,0
#224:44495,0,0,1,0
#224:44498,1,5,10,0
#224:44499,0,-1,5,1
#224:44506,-1,1,-1,0
#224:44509,0,-2,0,0
#224:44520,0,0,0,0
#224:44524,0,1,4,0
#224:44530,1,-2,1,-1
#224:44531,0,6,5,2
#224:44532,1,11,9,0
#224:44533,1,11,9,0
#224:44540,-1,0,0,0
#224:44542,0,0,-2,0
#224:44543,0,0,0,0
#224:44544,1,1,3,0
#224:44546,0,0,1,0
#224:44547,1,11,8,0
#224:44565,1,11,8,0
#224:44566,1,11,8,0
#224:44572,0,0,1,0
#224:44573,1,0,0,0
#224:44634,0,4,2,0
#224:44636,0,0,0,0
#224:44637,0,0,0,0
#224:44649,0,0,0,0
#224:44658,0,0,0,0
#224:44671,0,0,0,0
#224:44675,1,0,0,0
#224:44676,1,9,12,0
#224:44677,0,-1,0,0
#224:44679,1,9,12,0
#224:44681,-1,5,1,3
#224:44690,1,4,2,0
#224:44694,0,0,1,0
#224:44714,0,1,3,0
#224:44757,0,0,0,0
#224:44762,0,0,0,0
#224:44769,0,0,0,0
#224:44770,0,0,0,0
#224:44773,0,-1,0,1
#224:44776,0,4,4,0
#224:44777,0,0,1,0
#224:44778,0,2,4,0
#224:44779,0,6,6,0
#224:44782,0,0,0,0
#224:44784,1,0,0,0
#224:44788,0,-1,4,0
#224:44789,0,1,3,0
#224:44793,0,-1,3,0
#224:44800,0,4,6,0
#224:44805,0,0,2,0
#224:44806,0,-1,2,0
#224:44807,0,-1,3,0
#224:44809,0,2,4,0
#224:44811,0,0,3,0
#224:44818,0,0,3,0
#224:44822,0,0,3,0
#224:44823,0,0,3,0
#224:44824,0,0,2,0
#224:44827,0,1,2,1
#224:44833,0,0,5,0
#224:44840,0,0,3,0
#224:44849,0,0,2,0
#224:44861,0,-2,-1,0
#224:44866,0,4,3,0
#224:44867,0,5,4,0
#224:44869,0,4,2,0
#224:44870,0,1,3,0
#224:44871,0,4,4,0
#224:44874,0,1,0,0
#224:44879,0,-7,0,-1
#224:44904,1,7,7,0
#224:44914,0,0,-2,0
#224:44917,1,2,3,0
#224:44939,1,5,2,0
#224:44941,0,4,2,0
#224:44949,0,1,1,0
#224:44975,0,2,2,0
#224:44988,0,2,2,0
#224:44995,0,0,4,0
#224:45002,0,0,1,0
#224:45036,1,1,4,0
#224:45040,0,0,1,0
#224:45041,0,2,2,0
#224:45059,1,2,7,0
#224:45061,0,2,1,0
#224:45084,1,1,1,0
#224:45085,1,3,0,0
#224:45095,1,1,1,0
#224:45103,1,2,1,0
#224:45111,1,1,1,0
#224:45122,1,1,1,0
#224:45126,0,1,0,0
#224:45140,0,2,0,0
#224:45155,1,2,0,0
#224:45158,0,1,1,0
#224:45163,1,3,-2,0
#224:45165,1,2,0,0
#224:45168,1,1,1,0
#224:45170,1,1,0,0
#224:45174,0,1,0,0
#224:45177,1,2,0,0
#224:45178,1,1,1,0
#224:45212,1,-1,7,0
#224:45213,0,4,5,0
#224:45214,0,-1,0,0
#224:45220,0,0,0,0
#224:45251,0,-1,0,0
#224:45399,0,-1,1,0
#224:45401,0,1,1,0
#224:45430,1,6,1,0
#224:45431,0,0,2,0
#224:45432,0,2,1,0
#224:45433,0,1,1,0
#224:45435,0,0,3,0
#224:45436,0,5,4,0
#224:45438,0,-4,-1,0
#224:45440,1,-2,3,0
#224:45441,0,4,3,0
#224:45442,0,6,0,0
#224:45480,1,9,13,0
#224:45484,0,-1,2,0
#224:45486,0,-1,1,0
#224:45491,0,1,3,0
#224:45492,1,9,13,0
#224:45495,0,-2,1,0
#224:45498,1,9,12,0
#224:45499,1,9,12,0
#224:45505,0,2,0,0
#224:45517,1,9,12,0
#224:45518,1,7,13,0
#224:45519,1,6,13,0
#224:45520,1,9,13,0
#224:45539,1,9,10,3
#224:45545,1,9,10,4
#224:45548,0,-1,-2,0
#224:45551,0,1,0,0
#224:45554,1,0,0,0
#224:45555,0,-3,2,0
#224:45563,0,0,-3,0
#224:45565,1,11,7,0
#224:45577,1,9,8,0
#224:45580,1,9,8,0
#224:45597,1,11,7,0
#224:45605,0,0,1,0
#224:45607,0,0,0,0
#224:45620,0,0,1,0
#224:45624,0,0,1,0
#224:45625,0,0,1,0
#224:45626,0,0,1,0
#224:45629,0,0,1,0
#224:45635,1,0,1,0
#224:45638,1,9,12,0
#224:45639,-1,0,0,0
#224:45640,0,-1,0,0
#224:45642,0,0,1,0
#224:45649,0,0,5,0
#224:45650,0,4,4,0
#224:45651,0,-2,1,0
#224:45658,-1,0,5,0
#224:45661,0,-2,0,0
#224:45662,1,0,0,0
#224:45670,0,0,0,0
#224:45672,0,-1,0,0
#224:45675,0,2,0,0
#224:45679,0,4,0,0
#224:45680,0,-2,-2,0
#224:45706,1,3,1,0
#224:45707,0,0,0,0
#224:45732,0,-1,-1,0
#224:45733,1,0,0,0
#224:45740,0,0,1,0
#224:45746,0,-1,0,0
#224:45769,-1,1,-3,0
#224:45774,0,0,0,0
#224:45777,0,0,0,0
#224:45782,1,5,0,0
#224:45794,1,5,12,0
#224:45799,0,0,3,0
#224:45806,0,-2,0,0
#224:45811,0,0,0,0
#224:45812,0,0,0,0
#224:45816,0,-1,1,0
#224:45821,0,0,1,0
#224:45832,0,0,-1,1
#224:45834,-1,1,7,0
#224:45836,0,2,1,0
#224:45845,0,1,0,0
#224:45846,0,1,0,0
#224:45858,0,0,1,0
#224:45859,0,0,0,0
#224:45864,0,0,1,1
#224:45871,0,1,0,0
#224:45872,0,0,1,0
#224:45873,0,0,1,0
#224:45874,0,0,0,0
#224:45875,0,0,1,0
#224:45877,0,2,1,0
#224:45879,0,0,0,0
#224:45881,0,2,0,0
#224:45883,0,0,0,1
#224:45893,0,0,1,0
#224:45900,0,0,1,0
#224:45911,0,0,1,0
#224:45912,0,0,1,0
#224:45913,0,0,1,0
#224:45918,0,0,1,0
#224:45923,0,0,0,0
#224:45926,1,11,8,0
#224:45927,0,0,3,0
#224:45947,0,0,0,1
#224:45960,0,0,-1,0
#224:45966,0,0,-1,0
#224:45992,0,1,4,2
#224:45993,0,-1,3,0
#224:46014,0,4,0,0
#224:46016,0,0,5,0
#224:46025,0,11,8,0
#224:46036,0,7,3,0
#224:46054,0,0,8,-3
#224:46057,0,11,8,0
#224:46060,0,2,2,0
#224:46070,0,6,7,0
#224:46074,0,4,7,0
#224:46086,0,8,8,0
#224:46091,0,11,9,0
#224:46098,0,0,-2,0
#224:46108,1,11,6,0
#224:46109,0,8,7,0
#224:46115,1,9,12,0
#224:46119,1,9,7,0
#224:46122,0,7,9,0
#224:46124,0,9,9,0
#224:46130,0,4,9,0
#224:46132,1,6,4,0
#224:46134,0,8,9,0
#224:46141,0,0,6,0
#224:46147,0,10,9,0
#224:46149,0,4,2,0
#224:46162,0,6,6,0
#224:46163,0,2,8,0
#224:46174,0,6,4,0
#224:46182,0,10,8,0
#224:46186,0,-2,7,-4
#224:46189,1,1,1,0
#224:46190,0,0,8,0
#224:46198,1,3,1,0
#224:46202,0,1,3,0
#224:46203,1,0,5,0
#224:46205,1,5,8,0
#224:46208,0,1,5,0
#224:46209,0,1,7,0
#224:46215,0,2,8,0
#224:46217,1,2,7,0
