legid,ACT,CP,GT,WYR
#222:34927,1,0,0,0
#222:34928,0,0,2,0
#222:34935,0,0,0,0
#222:34936,1,-3,1,0
#222:34937,0,0,0,0
#222:34939,1,5,0,-1
#222:34952,0,0,3,0
#222:34957,0,1,0,0
#222:34959,0,0,1,0
#222:34960,1,0,0,0
#222:34965,0,0,5,0
#222:34966,1,0,1,0
#222:34972,0,0,2,0
#222:34980,1,0,0,0
#222:34982,0,3,0,0
#222:34983,0,-4,-2,0
#222:34996,0,1,0,0
#222:34997,0,0,2,0
#222:34998,1,0,0,0
#222:35001,0,0,0,0
#222:35004,0,5,4,0
#222:35005,0,0,0,0
#222:35013,0,0,-3,0
#222:35019,-1,11,8,0
#222:35020,1,11,9,0
#222:35027,1,7,8,0
#222:35028,0,0,2,0
#222:35029,0,0,0,0
#222:35033,1,5,7,0
#222:35036,1,0,0,0
#222:35053,0,0,1,0
#222:35057,0,0,1,0
#222:35077,0,0,0,0
#222:35079,0,0,0,0
#222:35086,1,0,0,0
#222:35089,0,3,6,-4
#222:35105,0,0,0,0
#222:35109,0,10,9,0
#222:35113,0,10,9,0
#222:35115,0,10,9,0
#222:35122,0,0,0,0
#222:35128,0,0,0,0
#222:35135,0,10,9,0
#222:35137,0,10,9,0
#222:35138,0,10,9,0
#222:35139,0,10,9,0
#222:35148,0,5,0,0
#222:35150,1,9,12,0
#222:35153,0,0,1,0
#222:35155,0,0,1,0
#222:35166,0,-3,-1,0
#222:35171,-1,-9,-12,0
#222:35172,-1,-3,-1,0
#222:35181,1,4,5,0
#222:35185,0,0,4,0
#222:35186,1,0,0,0
#222:35202,0,0,1,0
#222:35205,0,0,2,0
#222:35218,0,0,0,0
#222:35227,0,0,1,0
#222:35233,0,0,-1,0
#222:35234,0,2,0,1
#222:35236,0,-2,-1,0
#222:35253,0,0,1,0
#222:35257,1,11,9,0
#222:35277,0,1,3,0
#222:35282,0,0,-3,0
#222:35283,0,-3,-1,0
#222:35284,0,-2,-1,0
#222:35285,0,2,-1,0
#222:35291,0,-2,2,0
#222:35297,0,0,0,0
#222:35309,1,0,0,0
#222:35319,0,0,1,0
#222:35320,-1,-7,3,0
#222:35327,0,1,2,0
#222:35329,0,-1,0,0
#222:35332,0,0,0,-5
#222:35337,0,-4,2,-5
#222:35343,-1,-9,-4,0
#222:35349,-1,-3,1,0
#222:35354,-1,-1,1,0
#222:35364,1,1,0,0
#222:35373,0,1,2,1
#222:35385,0,-2,0,0
#222:35391,0,2,1,0
#222:35392,0,7,2,0
#222:35431,1,9,6,-1
#222:35435,0,-1,0,0
#222:35443,0,0,0,0
#222:35445,1,0,0,0
#222:35448,0,0,1,0
#222:35456,1,1,3,0
#222:35458,0,0,0,0
#222:35473,0,3,2,0
#222:35474,0,0,3,0
#222:35477,-1,-5,3,0
#222:35487,1,11,9,0
#222:35489,1,11,7,0
#222:35490,1,11,9,0
#222:35492,0,0,0,0
#222:35501,1,3,3,0
#222:35514,0,0,4,0
#222:35526,0,0,0,0
#222:35527,0,0,3,3
#222:35528,0,0,3,0
#222:35531,0,2,5,0
#222:35538,1,-3,0,0
#222:35544,0,1,0,0
#222:35546,1,0,4,0
#222:35549,0,0,1,0
#222:35551,0,3,2,0
#222:35554,0,2,2,0
#222:35564,0,0,0,0
#222:35572,0,1,1,0
#222:35578,1,-3,0,0
#222:35593,1,0,0,0
#222:35613,0,2,2,0
#222:35625,-1,8,5,0
#222:35630,-1,2,1,0
#222:35631,-1,3,7,0
#222:35657,0,6,4,0
#222:35662,0,-1,-1,0
#222:35671,0,0,4,0
#222:35680,0,4,3,-1
#222:35688,0,0,-1,0
#222:35694,0,-9,-7,0
#222:35697,-1,11,8,0
#222:35705,0,0,2,0
#222:35711,0,1,0,0
#222:35714,0,0,0,0
#222:35716,1,0,0,0
#222:35719,0,0,1,0
#222:35721,0,0,1,0
#222:35730,0,0,-1,0
#222:35735,0,0,0,0
#222:35742,0,-1,0,0
#222:35743,0,0,6,0
#222:35744,1,1,8,0
#222:35745,1,1,6,0
#222:35749,0,0,2,0
#222:35758,0,1,0,0
#222:35759,0,-2,0,0
#222:35763,0,6,7,0
#222:35766,1,9,13,0
#222:35768,0,1,-1,0
#222:35773,0,0,-1,0
#222:35779,0,2,1,0
#222:35784,0,3,-1,0
#222:35793,0,4,3,0
#222:35795,0,4,1,0
#222:35799,0,0,0,0
#222:35806,0,1,0,0
#222:35811,0,0,0,0
#222:35812,1,0,0,0
#222:35815,1,0,0,0
#222:35816,0,-1,1,0
#222:35827,0,4,2,0
#222:35829,1,-3,5,0
#222:35833,1,2,1,0
#222:35849,0,8,8,0
#222:35850,0,-3,-2,0
#222:35852,0,0,1,0
#222:35854,0,0,0,0
#222:35859,0,0,2,0
#222:35865,0,0,0,0
#222:35868,0,0,-2,0
#222:35880,0,2,0,0
#222:35893,1,0,-2,0
#222:35896,1,-2,-2,0
#222:35899,0,1,1,0
#222:35905,0,0,3,0
#222:35906,0,0,3,0
#222:35919,0,0,3,0
#222:35923,0,0,3,0
#222:35928,-1,-1,-2,0
#222:35930,0,0,3,0
#222:35934,1,-5,1,0
#222:35938,0,0,0,0
#222:35949,1,0,0,0
#222:35951,0,0,0,0
#222:35959,0,0,0,0
#222:35972,1,0,0,0
#222:35976,0,2,3,2
#222:35982,0,1,0,0
#222:35983,0,0,2,0
#222:35984,1,0,0,0
#222:35994,1,0,0,0
#222:35995,1,0,0,0
#222:36000,0,0,1,0
#222:36001,1,0,0,0
#222:36008,-1,2,0,-1
#222:36019,0,0,0,0
#222:36021,0,0,0,0
#222:36022,0,0,0,0
