legid,act_Accompanying,act_Browsing,act_Cycling,act_Driving,act_Eating,act_Listening,act_Other,act_PersonalCare,act_ReadingDevice,act_ReadingPaper,act_Relaxing,act_Talking,act_Thinking,act_Walking,act_Watching,activity_count
#22:10368,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10377,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10379,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10388,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10390,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10391,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10392,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
#22:10397,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
#22:10405,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10407,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2
#22:10416,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10419,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
#22:10422,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10423,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10432,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,3
#22:10436,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10437,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
#22:10438,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10453,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:10462,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,3
#22:10465,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
#22:10477,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2
#22:10489,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
#22:10496,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2
#22:10501,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10508,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,4
#22:10510,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10514,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2
#22:10523,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10525,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10526,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10533,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10534,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10537,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,2
#22:10548,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10553,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,2
#22:10555,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10557,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2
#22:10559,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10563,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,4
#22:10571,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
#22:10580,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2
#22:10585,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
#22:10588,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10595,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,3
#22:10597,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
#22:10602,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10603,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
#22:10605,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10609,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10610,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
#22:10615,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
#22:10616,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10628,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10652,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10656,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
#22:10661,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10668,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,3
#22:10680,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10684,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10689,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3
#22:10695,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10697,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,2
#22:10704,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10705,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10707,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10717,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10718,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,2
#22:10720,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10732,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,3
#22:10733,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2
#22:10741,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10745,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3
#22:10753,True,True,False,False,True,True,False,False,False,False,False,True,False,True,False,6
#22:10758,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2
#22:10762,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3
#22:10764,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10767,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,4
#22:10768,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10770,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10771,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10778,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10779,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10784,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10785,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10789,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10795,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3
#22:10803,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
#22:10807,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10809,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10818,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10819,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10821,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
