tripid,mood_rating,did_you_have_to_arrive
#31:3262,-1.0,-1.0
#30:3278,-1.0,-1.0
#32:3225,-1.0,-1.0
#31:3285,-1.0,-1.0
#32:3228,-1.0,-1.0
#33:3206,-1.0,-1.0
#31:3259,-1.0,-1.0
#31:3264,-1.0,-1.0
#33:3248,-1.0,-1.0
#30:3305,-1.0,-1.0
#31:3313,-1.0,-1.0
#30:3327,-1.0,-1.0
#33:3230,5.0,1.0
#31:3299,-1.0,-1.0
#31:3298,5.0,0.0
#30:3320,5.0,0.0
#32:3273,-1.0,-1.0
#33:3246,5.0,1.0
#30:3328,-1.0,-1.0
#32:3291,-1.0,-1.0
#32:3307,-1.0,-1.0
#31:3321,-1.0,-1.0
#32:3433,-1.0,-1.0
#31:3316,-1.0,-1.0
#32:3279,-1.0,-1.0
#30:3334,-1.0,-1.0
#30:3349,-1.0,-1.0
#33:3293,-1.0,-1.0
#30:3343,-1.0,-1.0
#31:3360,-1.0,-1.0
#32:3325,-1.0,-1.0
#33:3303,-1.0,-1.0
#30:3347,-1.0,-1.0
#33:3428,-1.0,-1.0
#33:3388,-1.0,-1.0
#33:3283,-1.0,-1.0
#30:3361,-1.0,-1.0
#30:3381,-1.0,-1.0
#31:3341,-1.0,-1.0
#30:3467,-1.0,-1.0
#31:3487,-1.0,-1.0
#30:3371,-1.0,-1.0
#31:3446,-1.0,-1.0
#32:3411,-1.0,-1.0
#31:3351,-1.0,-1.0
#33:3389,-1.0,-1.0
#32:3451,-1.0,-1.0
#31:3371,5.0,1.0
#31:3361,-1.0,-1.0
#32:3326,-1.0,-1.0
#30:3509,-1.0,-1.0
#32:3316,-1.0,-1.0
#30:3382,-1.0,-1.0
#33:3313,-1.0,-1.0
#31:3396,-1.0,-1.0
#31:3488,-1.0,-1.0
#32:3330,-1.0,-1.0
#33:3321,-1.0,-1.0
#32:3452,-1.0,-1.0
#30:3468,-1.0,-1.0
#33:3339,-1.0,-1.0
#31:3447,-1.0,-1.0
#30:3740,3.0,0.0
#30:3402,-1.0,-1.0
#31:3388,-1.0,-1.0
#33:4197,-1.0,-1.0
#30:3412,-1.0,-1.0
#30:3417,-1.0,-1.0
#33:3350,-1.0,-1.0
#31:3397,-1.0,-1.0
#30:4280,-1.0,-1.0
#33:3338,-1.0,-1.0
#33:3390,-1.0,-1.0
#30:3416,-1.0,-1.0
#30:3469,-1.0,-1.0
#30:3428,-1.0,-1.0
#31:3408,-1.0,-1.0
#31:3512,-1.0,-1.0
#31:4258,-1.0,-1.0
#31:3448,-1.0,-1.0
#31:3780,-1.0,-1.0
#32:3413,-1.0,-1.0
#30:3431,-1.0,-1.0
#33:3357,-1.0,-1.0
#33:3362,-1.0,-1.0
#33:3664,4.0,0.0
#30:3511,-1.0,-1.0
#33:4198,-1.0,-1.0
#30:3444,4.0,0.0
#32:3385,-1.0,-1.0
#33:3429,-1.0,-1.0
#32:3454,-1.0,-1.0
#31:4259,-1.0,-1.0
#32:3691,4.0,0.0
#33:3431,-1.0,-1.0
#32:4223,-1.0,-1.0
#30:3470,-1.0,-1.0
#31:3715,4.0,0.0
#30:3510,-1.0,-1.0
#30:3534,-1.0,-1.0
#31:3454,-1.0,-1.0
#32:3453,-1.0,-1.0
#30:3629,-1.0,-1.0
#31:3456,-1.0,-1.0
#31:4594,-1.0,-1.0
#33:3396,-1.0,-1.0
#31:3460,-1.0,-1.0
#31:3838,-1.0,-1.0
#33:3418,-1.0,-1.0
#32:3419,-1.0,-1.0
#31:3492,-1.0,-1.0
#31:3493,-1.0,-1.0
#32:3462,5.0,0.0
#32:3476,-1.0,-1.0
#32:3428,-1.0,-1.0
#32:3442,-1.0,-1.0
#31:3465,-1.0,-1.0
#33:3410,-1.0,-1.0
#33:3419,-1.0,-1.0
#30:3801,-1.0,-1.0
#32:3477,-1.0,-1.0
#30:3500,-1.0,-1.0
#33:3434,-1.0,-1.0
#33:3437,-1.0,-1.0
#30:3521,-1.0,-1.0
#30:3513,-1.0,-1.0
#32:3464,-1.0,-1.0
#30:3518,3.0,1.0
#30:3520,-1.0,-1.0
#31:3499,-1.0,-1.0
#33:3548,-1.0,-1.0
#31:3501,-1.0,-1.0
#32:3465,-1.0,-1.0
#31:3502,-1.0,-1.0
#30:9106,4.0,0.0
#33:3521,-1.0,-1.0
#30:3584,-1.0,-1.0
#33:3458,-1.0,-1.0
#32:3571,-1.0,-1.0
